<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
60+;Feminino;Doutorado;Ph.D em Deisgn e Inovação;Inovação e. empreendedorismo;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos;1;3;2;3;2;2;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras.;Sim;Google Assistant, Shazam;Nunca utilizei outras ferramentas.;desconheço;Aumento da produtividade, Automatização de tarefas;Nao;comandos por voz para tudo;2;Em um futuro distante;Cargos operacionais;;;;;;;
50-60;Masculino;Mestrado;Economia e Finanças;Financeiro;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Orientação de viagens, Ajuda com resolução de problemas;4;2;4;5;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Detecção e correção de erros gramaticais e ortográficos., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Google;Respostas mais detalhadas aos questionamentos;3;Em um futuro distante;Operacional e de Research;Muito eloquente, tem que ter aprofundamento;;;;;;
25 -35;Feminino;Superior Completo;Direito ;Advogada ;Sim;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;Nunca utilizei;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não há;Otimização de tempo;3;Em um futuro distante;;;;;;;;
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
40-50;Masculino;Mestrado;Oficial do Exército ;Iniciando no mercado digital;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo;5;2;4;4;5;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, DALL-E;Iguais;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas;Cada IA está se especializando em uma atividade.;Ainda não defini isso.;3;Em um futuro próximo;;;;;;;;
50-60;Feminino;Superior Completo;Jornalismo;Comunicação corporativa ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Geração de ideias, Curiosidades e fatos triviais;3;3;4;4;3;3;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Aumento da capacidade de compreender e gerar conteúdo multilíngue., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras.;Sim;Alexa (Amazon), Google Translate, Shazam;Iguais;;Aumento da produtividade, Otimização de tempo;Temos plataformas de mailing ;Mailing mais assertivo e uma ferramenta de IA que me ajude em centimetragem ;3;Em um futuro próximo;;;;;;;;
40-50;Masculino;Superior Completo;Adiministração de empresas ;Professor e Sócio da NEO 3D;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo, Ajuda com resolução de problemas;2;3;3;4;4;4;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Cortana (Microsoft), Midjourney, Google Translate;Melhores;simplicidade e objetividade das tarefas focadas em alguma situação.;Aumento da produtividade, Otimização de tempo, Análise avançada de dados;Bing IA;praticidade profissional otimizando tempo e recursos.;4;Em um futuro próximo;ensino, operações,  criação de conteúdo, gestão operacional administrativa.;Boa sorte na sua jornada do doutorado;;;;;;
60+;Masculino;Superior Completo;Médico ;Profissional liby;Não;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;;Melhoria da tomada de decisão;Não ;Ajudar tomada de decisão ;1;Não sei dizer;;;;;;;;
25 -35;Feminino;Superior Completo;Publicidade e prograpaganda;Publicitária;Sim;Sim;Assistência profissional;Revisão de textos, Tradução;3;2;1;4;4;4;Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;-;-;4;Em um futuro próximo;;;;;;;;
<<<<<<< HEAD
60+;Masculino;Mestrado;Administração e Engenharia ;Consultor de Empresas;Sim;Não;;;;;;;;;;;Siri (Apple), Google Translate;Muito piores;;Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;Servivor;Sem análise no momento ;3;Em um futuro próximo;Atividades rotineiras, como auxiliares e assistentes;;;;;;;
40-50;Feminino;Superior Completo;Engenharia  civil ;Engenharia civil ;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon), Watson Assistant (IBM), Google Translate, Shazam;Iguais;Limitações ;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Não utilizo;Diagnosticos de patologias;3;Em um futuro distante;Cálculos ;;;;;;;
25 -35;Feminino;Mestrado;Relações Internacionais ;estudante de doutorado;Sim;Sim;Assistência pessoal, Assistência profissional;Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Tradução;5;2;4;5;5;5;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Google Assistant, Alexa (Amazon), Google Translate, elicit;Iguais;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Elicit;Já me sinto contemplada;1;Não sei dizer;Não axho que seria substituído. Pois desenvolver pesquisa necessita de criatividade, capacidade cognitiva e de argumentação. O que seria substituído poderiam ser formatação de textos, automação de coleta de dados, revisão e tradução. Mas o trabalho criativo e argumentativo, não ;;;;;;;
40-50;Masculino;Mestrado;Bacharel em Direito;Consultoria;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução;4;2;4;5;5;5;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), DALL-E, Google Translate, Shazam;Piores;;Aumento da produtividade, Otimização de tempo;desconheço;análises mais técnicas;3;Em um futuro próximo;;;;;;;;
60+;Masculino;Superior Completo;Engenharia Elétrica/Eletrônica e Engenharia Civil;Aposentado/Profissional Liberal;Sim;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Desconheço ;Maior produtividade.;3;Em um futuro próximo;Processos produtivos/administrativos;;;;;;;
50-60;Masculino;Mestrado;Cirurgião-dentista ;Dentista ;Não;Não;;;;;;;;;;;Siri (Apple), Cortana (Microsoft), Shazam;Melhores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Nenhuma ;Economia de tempo;4;Em um futuro distante;Talvez prótese ;;;;;;;
50-60;Masculino;Superior Completo;Gestão Financeira ;Administrador de empresas ;Sim;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate;Iguais;;Aumento da produtividade, Otimização de tempo;Não utilizo ;Acelerar;3;Hoje;;;;;;;;
35-40;Masculino;Doutorado;Administração;Empresário;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;5;2;4;5;5;5;Trazer informações atualizadas e recentes., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), Bixby (Samsung), Google Translate, Shazam;Muito piores;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não se aplica;Uso de imagens;3;Em um futuro próximo;;;;;;;;
35-40;Masculino;Superior Completo;Ciência da Computação ;Engenheiro de Planejamento;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais, Ajuda com resolução de problemas;3;3;2;4;5;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz.;Sim;Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Google Translate, tem o boots de IA do twitter (X);Iguais;"Toda IA tem suas limitações, a forma de apresentar a pergunta define muito a capacidade de interação do sistema; mas como todo programa de IA é necessário treina-lo para o aperfecionamento do mesmo, mas do modo que a plataforma esta sendo usada a vida útil dela vai ser reduzida draticamente.";Seria uma ferramenta de suporte, não um apoio profissional;IA de tradução;Dificil especificar uma IA para engenharia, mas uma IA com todas as NBR's e outras normas (sempre atualizadas) relacionadas a área técnica fazendo a comparação e aplicação com a descrição da atividade seria uma mão na roda;2;Não sei dizer;Serviço de primeiro contato com o cliente tendem a ser os primeiros que vão ser substituídos, por isso a interação com a IA deve ser melhorada, mas sempre haverá a necessidade de um profissional no final da linha.;Caso queira discutir o assunto me chama no grupo ;;;;;;
50-60;Masculino;Superior Completo;Medicina;Funcionário Público estadual;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais;5;1;4;4;5;4;Não sei dizer;Sim;Siri (Apple), Alexa (Amazon), Google Translate;Iguais;;Melhoria da tomada de decisão, Otimização de tempo;Watson;Dados;3;Em um futuro próximo;;;;;;;;
50-60;Masculino;Superior Completo;Engenharia Civil;Obras públicas;Não;Não;;;;;;;;;;;Siri (Apple), Google Translate;Iguais;;Otimização de tempo;google tradutor;Rapidez na execução;3;Não sei dizer;;;;;;;;
60+;Masculino;Mestrado;Bacharel em Direito;Empresario;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon);Iguais;;Aumento da produtividade, Redução de erros humanos;desconheço;desconheço;1;Não sei dizer;desconheço;;;;;;;
60+;Masculino;Superior Completo;Engenharia Mecânica ;Empresário;Não;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;Não estou apto a comparar;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Cálculo de resistência estrutural.;Cálculos de resistência estrutural.;3;Hoje;Verificação nas falhas de projeto.;Acho muito interessante temas da IA.;;;;;;
40-50;Masculino;Mestrado;Medicina;Médico e professor universitário;Sim;Não;;;;;;;;;;;Siri (Apple), Alexa (Amazon);Piores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;robótica;precisão na tomada de decisões;3;Em um futuro próximo;análise de resultados de exames, auxílio na tomada de decisões;;;;;;;
40-50;Masculino;Superior Completo;Bacharel em Direito;Cartório ;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais;3;3;4;4;2;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de referências e citações (reais)., Integração de recursos de tradução em tempo real para conversas multilíngues.;Não;;;;Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Não existe ;Agilidade;2;Em um futuro próximo;Atendimento ao público ;;;;;;;
25 -34;Masculino;Superior Incompleto;Bacharelado em Física;Cientista de Dados;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;3;2;4;5;5;4;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Speech Text, DALL-E, Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Copilot e Tabnone;Queria algo para me ajudar na organização mais efetiva de minhas tarefas. Acho que o Notion pode ajudar.;3;Em um futuro próximo;;;;;;;;
35-39;Masculino;Mestrado;Jornalismo;Comunicação e Marketing;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Orientação de viagens, Ajuda com resolução de problemas;5;2;4;4;4;5;Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Midjourney, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Piores;Até mesmo o Bard, do Google, tem mais limitações que o chat GPT.;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas;Não;Estruturação de projetos personalizados com base em problemas. O que as IAs oferecem hoje é a estrutura genérica de projetos.;3;Em um futuro próximo;Produção de texto, correção e criação de planejamentos de conteúdo;;;;;;;
40-49;Masculino;Mestrado;Jornalismo;Estudante de Doutorado;Sim;Sim;Assistência profissional;Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais;5;2;3;4;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais).;Sim;Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Google Translate, Outro ChatBot (seja em website e/ou WhatsApp), Google Bard;Melhores;O ChatGPT tende a compreender melhor as solicitações do que os assistentes de voz, a exemplo da Amazon Alexa. Em contrapartida, o ChatGPT ainda tem uma defasagem em termos de atualização no comparativo com outras IAs, especialmente se for comparado a um concorrente direto como o Google Bard.;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Google Bard;Automatização de rotinas de maior demanda laboral, a exemplo da análise de grandes volumes de dados, gerando insights que podem ser adotados como base para a produção de conteúdo.;3;Hoje;No Jornalismo, a IA já pode substituir seres humanos em algumas funções, tais como as de redator e de gestor de redes sociais, em grande parte por estes cargos terem rotinas que são mais propícias para o uso de uma ferramenta de automatização.;Essa adequação a uma nova realidade tecnológica é importante para o setor, mas não deve ser adotada como algo de solução ŕapois.;;;;;;
35-39;Feminino;Pós Graduação (MBA);Nutrição ;Nutricionista ;Sim;Não;;;;;;;;;;;Alexa (Amazon), Google Translate;Piores;;Otimização de tempo, Automatização de tarefas;Não ;Análise avançada de dados;1;Não sei dizer;Não sei informar ;;;;;;;
25 -34;Feminino;Superior Completo;Ciência da Computação ;Analista Financeira;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos;3;5;3;3;3;4;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais).;Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Análise avançada de dados;Nao ;Nao;4;Em um futuro distante;;;;;;;;
=======
60+;Masculino;Mestrado;Administração e Engenharia ;Consultor de Empresas;Sim;Não;;;;;;;;;;;Siri (Apple), Google Translate;Muito piores (que o Chat GPT);;Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;Servivor;Sem análise no momento ;3;Em um futuro próximo;Atividades rotineiras, como auxiliares e assistentes;;;;;;;
40-50;Feminino;Superior Completo;Engenharia  civil ;Engenharia civil ;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon), Watson Assistant (IBM), Google Translate, Shazam;Iguais;Limitações ;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Não utilizo;Diagnosticos de patologias;3;Em um futuro distante;Cálculos ;;;;;;;
25 -35;Feminino;Mestrado;Relações Internacionais ;estudante de doutorado;Sim;Sim;Assistência pessoal, Assistência profissional;Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Tradução;5;2;4;5;5;5;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Google Assistant, Alexa (Amazon), Google Translate, elicit;Iguais;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Elicit;Já me sinto contemplada;1;Não sei dizer;Não axho que seria substituído. Pois desenvolver pesquisa necessita de criatividade, capacidade cognitiva e de argumentação. O que seria substituído poderiam ser formatação de textos, automação de coleta de dados, revisão e tradução. Mas o trabalho criativo e argumentativo, não ;;;;;;;
40-50;Masculino;Mestrado;Direito;Consultoria;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução;4;2;4;5;5;5;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), DALL-E, Google Translate, Shazam;Piores;;Aumento da produtividade, Otimização de tempo;desconheço;análises mais técnicas;3;Em um futuro próximo;;;;;;;;
60+;Masculino;Superior Completo;Engenharia Elétrica/Eletrônica e Engenharia Civil;Aposentado/Profissional Liberal;Sim;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Desconheço ;Maior produtividade.;3;Em um futuro próximo;Processos produtivos/administrativos;;;;;;;
50-60;Masculino;Mestrado;Cirurgião-dentista ;Dentista ;Não;Não;;;;;;;;;;;Siri (Apple), Cortana (Microsoft), Shazam;Melhores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Nenhuma ;Economia de tempo;4;Em um futuro distante;Talvez prótese ;;;;;;;
50-60;Masculino;Superior Completo;Gestão Financeira ;Administrador de empresas ;Sim;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate;Iguais;;Aumento da produtividade, Otimização de tempo;Não utilizo ;Acelerar;3;Hoje;;;;;;;;
35-40;Masculino;Doutorado;Administração;Empresário;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;5;2;4;5;5;5;Trazer informações atualizadas e recentes., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), Bixby (Samsung), Google Translate, Shazam;Muito piores (que o Chat GPT);;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não se aplica;Uso de imagens;3;Em um futuro próximo;;;;;;;;
35-40;Masculino;Superior Completo;Computação;Engenheiro de Planejamento;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais, Ajuda com resolução de problemas;3;3;2;4;5;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz.;Sim;Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Google Translate, tem o boots de IA do twitter (X);Iguais;"Toda IA tem suas limitações, a forma de apresentar a pergunta define muito a capacidade de interação do sistema; mas como todo programa de IA é necessário treina-lo para o aperfecionamento do mesmo, mas do modo que a plataforma esta sendo usada a vida útil dela vai ser reduzida draticamente.";Seria uma ferramenta de suporte, não um apoio profissional;IA de tradução;Dificil especificar uma IA para engenharia, mas uma IA com todas as NBR's e outras normas (sempre atualizadas) relacionadas a área técnica fazendo a comparação e aplicação com a descrição da atividade seria uma mão na roda;2;Não sei dizer;Serviço de primeiro contato com o cliente tendem a ser os primeiros que vão ser substituídos, por isso a interação com a IA deve ser melhorada, mas sempre haverá a necessidade de um profissional no final da linha.;Caso queira discutir o assunto me chama no grupo ;;;;;;
50-60;Masculino;Superior Completo;Medicina;Funcionário Público estadual;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais;5;1;4;4;5;4;Não sei dizer;Sim;Siri (Apple), Alexa (Amazon), Google Translate;Iguais;;Melhoria da tomada de decisão, Otimização de tempo;Watson;Dados;3;Em um futuro próximo;;;;;;;;
50-60;Masculino;Superior Completo;Engenheiro Civil;Obras públicas;Não;Não;;;;;;;;;;;Siri (Apple), Google Translate;Iguais;;Otimização de tempo;google tradutor;Rapidez na execução;3;Não sei dizer;;;;;;;;
60+;Masculino;Mestrado;Direito;Empresario;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon);Iguais;;Aumento da produtividade, Redução de erros humanos;desconheço;desconheço;1;Não sei dizer;desconheço;;;;;;;
60+;Masculino;Superior Completo;Engenheiro Mecânico;Empresário;Não;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;Não estou apto a comparar;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Cálculo de resistência estrutural.;Cálculos de resistência estrutural.;3;Hoje;Verificação nas falhas de projeto.;Acho muito interessante temas da IA.;;;;;;
40-50;Masculino;Mestrado;Medicina;Médico e professor universitário;Sim;Não;;;;;;;;;;;Siri (Apple), Alexa (Amazon);Piores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;robótica;precisão na tomada de decisões;3;Em um futuro próximo;análise de resultados de exames, auxílio na tomada de decisões;;;;;;;
40-50;Masculino;Superior Completo;Direito ;Cartório ;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais;3;3;4;4;2;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de referências e citações (reais)., Integração de recursos de tradução em tempo real para conversas multilíngues.;Não;;;;Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Não existe ;Agilidade;2;Em um futuro próximo;Atendimento ao público ;;;;;;;
25 -34;Masculino;Superior  Incompleto;Bacharelado em Física;Cientista de Dados;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;3;2;4;5;5;4;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Speech Text, DALL-E, Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Copilot e Tabnone;Queria algo para me ajudar na organização mais efetiva de minhas tarefas. Acho que o Notion pode ajudar.;3;Em um futuro próximo;;;;;;;;
35-39;Masculino;Mestrado;Jornalismo;Comunicação e Marketing;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Orientação de viagens, Ajuda com resolução de problemas;5;2;4;4;4;5;Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Midjourney, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Piores;Até mesmo o Bard, do Google, tem mais limitações que o chat GPT.;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas;Não;Estruturação de projetos personalizados com base em problemas. O que as IAs oferecem hoje é a estrutura genérica de projetos.;3;Em um futuro próximo;Produção de texto, correção e criação de planejamentos de conteúdo;;;;;;;
